map size : (310, 291)Cycle 0: curT = 3355.612549, curPe = 4, nc = 0, nwv = 0
  -> Updated cell 71706 (96, 231): new pot = 2920.678711 (with added heuristic 3423.172363)
updateCellAstar: Cell 72017 (97, 232): left = 10000000000.000000, right = 10000000000.000000, up = 2886.350586, down = 10000000000.000000
  -> Updated cell 72017 (97, 232): new pot = 2936.350586 (with added heuristic 3486.350586)
updateCellAstar: Cell 69842 (92, 225): left = 10000000000.000000, right = 2913.280029, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 69842 (92, 225): new pot = 2963.280029 (with added heuristic 3424.257324)
updateCellAstar: Cell 69533 (93, 224): left = 10000000000.000000, right = 2877.118408, up = 10000000000.000000, down = 2913.280029
  -> Updated cell 69533 (93, 224): new pot = 2925.491455 (with added heuristic 3456.998779)
updateCellAstar: Cell 70153 (93, 226): left = 10000000000.000000, right = 2872.598389, up = 2913.280029, down = 2955.467285
updateCellAstar: Cell 69224 (94, 223): left = 10000000000.000000, right = 2786.206787, up = 10000000000.000000, down = 2877.118408
  -> Updated cell 69224 (94, 223): new pot = 2836.206787 (with added heuristic 3438.286621)
updateCellAstar: Cell 68915 (95, 222): left = 10000000000.000000, right = 2945.842285, up = 10000000000.000000, down = 2786.206787
  -> Updated cell 68915 (95, 222): new pot = 2995.842285 (with added heuristic 3668.523438)
updateCellAstar: Cell 70461 (91, 227): left = 10000000000.000000, right = 3005.467285, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 70461 (91, 227): new pot = 3055.467285 (with added heuristic 3409.020752)
updateCellAstar: Cell 70152 (92, 226): left = 10000000000.000000, right = 2921.771729, up = 2963.280029, down = 3005.467285
  -> Updated cell 70152 (92, 226): new pot = 2971.071289 (with added heuristic 3395.335449)
updateCellAstar: Cell 70772 (92, 228): left = 10000000000.000000, right = 2968.124023, up = 3005.467285, down = 10000000000.000000
  -> Updated cell 70772 (92, 228): new pot = 3016.724609 (with added heuristic 3377.279785)
updateCellAstar: Cell 71083 (93, 229): left = 10000000000.000000, right = 2941.358887, up = 2968.124023, down = 10000000000.000000
  -> Updated cell 71083 (93, 229): new pot = 2987.466309 (with added heuristic 3368.254883)
updateCellAstar: Cell 71394 (94, 230): left = 10000000000.000000, right = 2925.280518, up = 2941.358887, down = 10000000000.000000
  -> Updated cell 71394 (94, 230): new pot = 2967.823730 (with added heuristic 3380.134277)
updateCellAstar: Cell 71705 (95, 231): left = 10000000000.000000, right = 2920.678711, up = 2925.280518, down = 10000000000.000000
  -> Updated cell 71705 (95, 231): new pot = 2958.223389 (with added heuristic 3410.992676)
updateCellAstar: Cell 72016 (96, 232): left = 10000000000.000000, right = 2936.350586, up = 2920.678711, down = 10000000000.000000
  -> Updated cell 72016 (96, 232): new pot = 2963.065430 (with added heuristic 3463.065430)
updateCellAstar: Cell 69841 (91, 225): left = 10000000000.000000, right = 2963.280029, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 69841 (91, 225): new pot = 3013.280029 (with added heuristic 3443.396240)
updateCellAstar: Cell 69532 (92, 224): left = 10000000000.000000, right = 2925.491455, up = 10000000000.000000, down = 2963.280029
  -> Updated cell 69532 (92, 224): new pot = 2974.174316 (with added heuristic 3474.174316)
updateCellAstar: Cell 70152 (92, 226): left = 10000000000.000000, right = 2921.771729, up = 2963.280029, down = 3005.467285
updateCellAstar: Cell 68914 (94, 222): left = 10000000000.000000, right = 2995.842285, up = 10000000000.000000, down = 2836.206787
  -> Updated cell 68914 (94, 222): new pot = 3045.842285 (with added heuristic 3686.154785)
updateCellAstar: Cell 70460 (90, 227): left = 10000000000.000000, right = 3055.467285, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 70460 (90, 227): new pot = 3105.467285 (with added heuristic 3425.623535)
updateCellAstar: Cell 70151 (91, 226): left = 10000000000.000000, right = 2971.071289, up = 3013.280029, down = 3055.467285
  -> Updated cell 70151 (91, 226): new pot = 3020.472656 (with added heuristic 3410.985107)
updateCellAstar: Cell 70771 (91, 228): left = 10000000000.000000, right = 3016.724609, up = 3055.467285, down = 10000000000.000000
  -> Updated cell 70771 (91, 228): new pot = 3065.577881 (with added heuristic 3385.734131)
updateCellAstar: Cell 71082 (92, 229): left = 10000000000.000000, right = 2987.466309, up = 3016.724609, down = 10000000000.000000
  -> Updated cell 71082 (92, 229): new pot = 3034.254150 (with added heuristic 3369.664307)
updateCellAstar: Cell 71393 (93, 230): left = 10000000000.000000, right = 2967.823730, up = 2987.466309, down = 10000000000.000000
  -> Updated cell 71393 (93, 230): new pot = 3011.672363 (with added heuristic 3375.677734)
updateCellAstar: Cell 71704 (94, 231): left = 10000000000.000000, right = 2958.223389, up = 2967.823730, down = 10000000000.000000
  -> Updated cell 71704 (94, 231): new pot = 2998.094238 (with added heuristic 3401.207031)
updateCellAstar: Cell 72015 (95, 232): left = 10000000000.000000, right = 2963.065430, up = 2958.223389, down = 10000000000.000000
  -> Updated cell 72015 (95, 232): new pot = 2995.885254 (with added heuristic 3445.885254)
updateCellAstar: Cell 69840 (90, 225): left = 10000000000.000000, right = 3013.280029, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 69840 (90, 225): new pot = 3063.280029 (with added heuristic 3466.392822)
updateCellAstar: Cell 69531 (91, 224): left = 10000000000.000000, right = 2974.174316, up = 10000000000.000000, down = 3013.280029
  -> Updated cell 69531 (91, 224): new pot = 3023.090088 (with added heuristic 3494.789062)
updateCellAstar: Cell 70151 (91, 226): left = 10000000000.000000, right = 2971.071289, up = 3013.280029, down = 3055.467285
updateCellAstar: Cell 70459 (89, 227): left = 10000000000.000000, right = 3105.467285, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 70459 (89, 227): new pot = 3155.467285 (with added heuristic 3447.014893)
updateCellAstar: Cell 70150 (90, 226): left = 10000000000.000000, right = 3020.472656, up = 3063.280029, down = 3105.467285
  -> Updated cell 70150 (90, 226): new pot = 3069.957520 (with added heuristic 3430.512695)
updateCellAstar: Cell 70770 (90, 228): left = 10000000000.000000, right = 3065.577881, up = 3105.467285, down = 10000000000.000000
  -> Updated cell 70770 (90, 228): new pot = 3114.624756 (with added heuristic 3397.467529)
updateCellAstar: Cell 71081 (91, 229): left = 10000000000.000000, right = 3034.254150, up = 3065.577881, down = 10000000000.000000
  -> Updated cell 71081 (91, 229): new pot = 3081.562256 (with added heuristic 3373.109863)
updateCellAstar: Cell 71392 (92, 230): left = 10000000000.000000, right = 3011.672363, up = 3034.254150, down = 10000000000.000000
  -> Updated cell 71392 (92, 230): new pot = 3056.509766 (with added heuristic 3372.737549)
updateCellAstar: Cell 71703 (93, 231): left = 10000000000.000000, right = 2998.094238, up = 3011.672363, down = 10000000000.000000
  -> Updated cell 71703 (93, 231): new pot = 3039.651611 (with added heuristic 3393.205078)
updateCellAstar: Cell 72014 (94, 232): left = 10000000000.000000, right = 2995.885254, up = 2998.094238, down = 10000000000.000000
  -> Updated cell 72014 (94, 232): new pot = 3032.235107 (with added heuristic 3432.235107)
updateCellAstar: Cell 72325 (95, 233): left = 10000000000.000000, right = 10000000000.000000, up = 2995.885254, down = 10000000000.000000
  -> Updated cell 72325 (95, 233): new pot = 3045.885254 (with added heuristic 3498.654541)
updateCellAstar: Cell 70458 (88, 227): left = 10000000000.000000, right = 3155.467285, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 70458 (88, 227): new pot = 3205.467285 (with added heuristic 3474.725586)
updateCellAstar: Cell 70149 (89, 226): left = 10000000000.000000, right = 3069.957520, up = 10000000000.000000, down = 3155.467285
  -> Updated cell 70149 (89, 226): new pot = 3119.957520 (with added heuristic 3455.367676)
updateCellAstar: Cell 70769 (89, 228): left = 10000000000.000000, right = 3114.624756, up = 3155.467285, down = 10000000000.000000
  -> Updated cell 70769 (89, 228): new pot = 3163.823242 (with added heuristic 3413.823242)
updateCellAstar: Cell 71080 (90, 229): left = 10000000000.000000, right = 3081.562256, up = 3114.624756, down = 10000000000.000000
  -> Updated cell 71080 (90, 229): new pot = 3129.277832 (with added heuristic 3379.277832)
updateCellAstar: Cell 71391 (91, 230): left = 10000000000.000000, right = 3056.509766, up = 3081.562256, down = 10000000000.000000
  -> Updated cell 71391 (91, 230): new pot = 3102.116699 (with added heuristic 3371.375000)
updateCellAstar: Cell 71702 (92, 231): left = 10000000000.000000, right = 3039.651611, up = 3056.509766, down = 10000000000.000000
  -> Updated cell 71702 (92, 231): new pot = 3082.490234 (with added heuristic 3386.628418)
updateCellAstar: Cell 72013 (93, 232): left = 10000000000.000000, right = 3032.235107, up = 3039.651611, down = 10000000000.000000
  -> Updated cell 72013 (93, 232): new pot = 3071.117920 (with added heuristic 3421.117920)
updateCellAstar: Cell 72324 (94, 233): left = 10000000000.000000, right = 3045.885254, up = 3032.235107, down = 10000000000.000000
  -> Updated cell 72324 (94, 233): new pot = 3073.821777 (with added heuristic 3476.934570)
updateCellAstar: Cell 71079 (89, 229): left = 10000000000.000000, right = 3129.277832, up = 3163.823242, down = 10000000000.000000
  -> Updated cell 71079 (89, 229): new pot = 3177.319092 (with added heuristic 3389.451172)
updateCellAstar: Cell 71390 (90, 230): left = 10000000000.000000, right = 3102.116699, up = 3129.277832, down = 10000000000.000000
  -> Updated cell 71390 (90, 230): new pot = 3148.336182 (with added heuristic 3371.942871)
updateCellAstar: Cell 71701 (91, 231): left = 10000000000.000000, right = 3082.490234, up = 3102.116699, down = 10000000000.000000
  -> Updated cell 71701 (91, 231): new pot = 3126.333252 (with added heuristic 3381.284180)
updateCellAstar: Cell 72012 (92, 232): left = 10000000000.000000, right = 3071.117920, up = 3082.490234, down = 10000000000.000000
  -> Updated cell 72012 (92, 232): new pot = 3111.758057 (with added heuristic 3411.758057)
updateCellAstar: Cell 72323 (93, 233): left = 10000000000.000000, right = 3073.821777, up = 3071.117920, down = 10000000000.000000
  -> Updated cell 72323 (93, 233): new pot = 3107.719238 (with added heuristic 3461.272705)
updateCellAstar: Cell 71078 (88, 229): left = 10000000000.000000, right = 3177.319092, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 71078 (88, 229): new pot = 3227.319092 (with added heuristic 3407.596680)
updateCellAstar: Cell 71389 (89, 230): left = 10000000000.000000, right = 3148.336182, up = 3177.319092, down = 10000000000.000000
  -> Updated cell 71389 (89, 230): new pot = 3195.051758 (with added heuristic 3375.329346)
updateCellAstar: Cell 71700 (90, 231): left = 10000000000.000000, right = 3126.333252, up = 3148.336182, down = 10000000000.000000
  -> Updated cell 71700 (90, 231): new pot = 3170.982178 (with added heuristic 3377.137451)
updateCellAstar: Cell 72011 (91, 232): left = 10000000000.000000, right = 3111.758057, up = 3126.333252, down = 10000000000.000000
  -> Updated cell 72011 (91, 232): new pot = 3153.715576 (with added heuristic 3403.715576)
updateCellAstar: Cell 72322 (92, 233): left = 10000000000.000000, right = 3107.719238, up = 3111.758057, down = 10000000000.000000
  -> Updated cell 72322 (92, 233): new pot = 3144.987549 (with added heuristic 3449.125732)
updateCellAstar: Cell 71077 (87, 229): left = 10000000000.000000, right = 3227.319092, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 71077 (87, 229): new pot = 3277.319092 (with added heuristic 3435.432861)
updateCellAstar: Cell 71388 (88, 230): left = 10000000000.000000, right = 3195.051758, up = 3227.319092, down = 10000000000.000000
  -> Updated cell 71388 (88, 230): new pot = 3242.584473 (with added heuristic 3384.005859)
updateCellAstar: Cell 71699 (89, 231): left = 10000000000.000000, right = 3170.982178, up = 3195.051758, down = 10000000000.000000
  -> Updated cell 71699 (89, 231): new pot = 3216.289795 (with added heuristic 3374.403564)
updateCellAstar: Cell 72010 (90, 232): left = 10000000000.000000, right = 3153.715576, up = 3170.982178, down = 10000000000.000000
  -> Updated cell 72010 (90, 232): new pot = 3196.707031 (with added heuristic 3396.707031)
updateCellAstar: Cell 72321 (91, 233): left = 10000000000.000000, right = 3144.987549, up = 3153.715576, down = 10000000000.000000
  -> Updated cell 72321 (91, 233): new pot = 3184.468994 (with added heuristic 3439.419922)
updateCellAstar: Cell 72632 (92, 234): left = 10000000000.000000, right = 10000000000.000000, up = 3144.987549, down = 10000000000.000000
  -> Updated cell 72632 (92, 234): new pot = 3194.987549 (with added heuristic 3511.215332)
updateCellAstar: Cell 71076 (86, 229): left = 10000000000.000000, right = 3277.319092, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 71076 (86, 229): new pot = 3327.319092 (with added heuristic 3477.319092)
updateCellAstar: Cell 70767 (87, 228): left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 3277.319092
  -> Updated cell 70767 (87, 228): new pot = 3327.319092 (with added heuristic 3533.474365)
updateCellAstar: Cell 71387 (87, 230): left = 10000000000.000000, right = 3242.584473, up = 3277.319092, down = 10000000000.000000
  -> Updated cell 71387 (87, 230): new pot = 3290.665771 (with added heuristic 3402.469238)
updateCellAstar: Cell 71698 (88, 231): left = 10000000000.000000, right = 3216.289795, up = 3242.584473, down = 10000000000.000000
  -> Updated cell 71698 (88, 231): new pot = 3262.262451 (with added heuristic 3374.065918)
updateCellAstar: Cell 72009 (89, 232): left = 10000000000.000000, right = 3196.707031, up = 3216.289795, down = 10000000000.000000
  -> Updated cell 72009 (89, 232): new pot = 3240.534912 (with added heuristic 3390.534912)
updateCellAstar: Cell 72320 (90, 233): left = 10000000000.000000, right = 3184.468994, up = 3196.707031, down = 10000000000.000000
  -> Updated cell 72320 (90, 233): new pot = 3225.474365 (with added heuristic 3431.629639)
updateCellAstar: Cell 72631 (91, 234): left = 10000000000.000000, right = 3194.987549, up = 3184.468994, down = 10000000000.000000
  -> Updated cell 72631 (91, 234): new pot = 3224.741943 (with added heuristic 3494.000244)
updateCellAstar: Cell 71697 (87, 231): left = 10000000000.000000, right = 3262.262451, up = 3290.665771, down = 10000000000.000000
  -> Updated cell 71697 (87, 231): new pot = 3308.823486 (with added heuristic 3379.534180)
updateCellAstar: Cell 72008 (88, 232): left = 10000000000.000000, right = 3240.534912, up = 3262.262451, down = 10000000000.000000
  -> Updated cell 72008 (88, 232): new pot = 3285.093262 (with added heuristic 3385.093262)
updateCellAstar: Cell 72319 (89, 233): left = 10000000000.000000, right = 3225.474365, up = 3240.534912, down = 10000000000.000000
